model,scenario,rl_throughput_kbps,paper_throughput_kbps,throughput_change_pct,rl_packet_loss_ratio,paper_packet_loss_ratio,loss_change_pp
out_1.0,baseline_balanced,760.9956,759.0062,0.2621058958411581,0.2096138925961893,0.2153619503688957,-0.57480577727064
out_1.0,energy_constrained,453.0094,456.7302,-0.8146603837451514,0.2552335608139323,0.6397476775633882,-38.4514116749456
out_1.0,high_congestion,300.7097,305.3874,-1.5317265872789825,0.2604655989875567,0.8009658572625172,-54.05002582749605
out_1.1_tuning_g00_a020_e025,baseline_balanced,754.6194,759.0062,-0.5779662932924651,0.2090651423866249,0.2153619503688957,-0.629680798227078
out_1.1_tuning_g00_a020_e025,energy_constrained,454.53010000000006,456.7302,-0.481706705621823,0.2292954480404883,0.6397476775633882,-41.04522295229
out_1.1_tuning_g00_a020_e025,high_congestion,301.1288,305.3874,-1.394491062827085,0.2446559060703689,0.8009658572625172,-55.63099511921483
out_1.1_tuning_g02_a020_e020,baseline_balanced,756.0291,759.0062,-0.39223658515570275,0.2092041123568921,0.2153619503688957,-0.6157838012003591
out_1.1_tuning_g02_a020_e020,energy_constrained,454.3396,456.7302,-0.5234162312892833,0.2310300320661131,0.6397476775633882,-40.871764549727516
out_1.1_tuning_g02_a020_e020,high_congestion,298.799,305.3874,-2.157390907417934,0.2657716488125881,0.8009658572625172,-53.519420844992915
out_1.1_tuning_g04_a015_e015,baseline_balanced,750.2945,759.0062,-1.1477771854828147,0.2089181087700763,0.2153619503688957,-0.6443841598819389
out_1.1_tuning_g04_a015_e015,energy_constrained,443.0559,456.7302,-2.9939557314143044,0.2738300386640814,0.6397476775633882,-36.59176388993068
out_1.1_tuning_g04_a015_e015,high_congestion,302.8523,305.3874,-0.8301259318491856,0.2610364833167778,0.8009658572625172,-53.992937394573936
out_1.1_tuning_g06_a010_e010,baseline_balanced,462.7602,759.0062,-39.03077471567426,0.2283193791872443,0.2153619503688957,1.2957428818348604
out_1.1_tuning_g06_a010_e010,energy_constrained,346.5665,456.7302,-24.120082271765693,0.3242665946022673,0.6397476775633882,-31.548108296112094
out_1.1_tuning_g06_a010_e010,high_congestion,299.387,305.3874,-1.964848582489,0.2983038794886536,0.8009658572625172,-50.26619777738637
out_1.1_tuning_g08_a010_e005,baseline_balanced,479.3833,759.0062,-36.84066085362676,0.218575756617479,0.2153619503688957,0.32138062485833063
out_1.1_tuning_g08_a010_e005,energy_constrained,324.2897,456.7302,-28.997535087454263,0.6126213478577268,0.6397476775633882,-2.7126329705661423
out_1.1_tuning_g08_a010_e005,high_congestion,269.13710000000003,305.3874,-11.870267077161657,0.2564503228925648,0.8009658572625172,-54.45155343699524
out_compact_state,baseline_balanced,715.3257,759.0062,-5.7549595774053035,0.208407181689975,0.2153619503688957,-0.6954768678920697
out_compact_state,energy_constrained,341.15340000000003,456.7302,-25.305267748881064,0.1845444812628762,0.6397476775633882,-45.520319630051205
out_compact_state,high_congestion,250.7575,305.3874,-17.88872101468496,0.1060482095652654,0.8009658572625172,-69.49176476972518
